"","Name of the substance","CAS number","Persistent organic pollutant","ED according to DEDuCT","ED in list I of ED lists","ED in list III of ED lists","URL to the DEDuCT page"
"1","(1S)-trans-(Alphar)-cypermethrin","83860-32-6",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpBrbWpvY2t-"
"2","1,3-Butadiene","106-99-0",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpZxa24"
"3","1,6-Diiodoperfluorohexane","375-80-4","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpZxcHJs"
"4","1-Perfluorobutanesulfonic acid","375-73-5",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpVwb2pt"
"5","2-Amino-1,3,4-triazole","61-82-5",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpBvanI"
"6","2-Hydroxyatrazine","2163-68-0",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpBsbGxxaGyAdA"
"7","4-Dodecylphenol","104-43-8",NA,"Yes","Yes",NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpVvZ2xo"
"8","Acetochlor","34256-82-1",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpByb3E"
"9","Acrylamide","79-06-1",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpVubnI"
"10","Alachlor","15972-60-8",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpFpbnE"
"11","Aldrin","309-00-2","Yes","Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpBrampoaWmE"
"12","Alpha-Cypermethrin","67375-30-8",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhphsam5v"
"13","Ammonium perchlorate","7790-98-9",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpFtbWxx"
"14","Atrazine","1912-24-9",NA,"Yes",NA,NA,"https://cb.imsc.res.in/deduct/chemical/eJaFhpFrbG8"
